CLIENTNUM,Income_Category,Total_Trans_Amt
768805383,$60K - $80K,1144
818770008,Less than $40K,1291
713982108,$80K - $120K,1887
769911858,Less than $40K,1171
709106358,$60K - $80K,816
713061558,$40K - $60K,1088
710930508,$60K - $80K,1350
719661558,$80K - $120K,1441
708790833,$120K +,1201
710821833,$40K - $60K,1314
710599683,$80K - $120K,1539
816082233,$60K - $80K,1311
712396908,Less than $40K,1570
714885258,$80K - $120K,1348
709967358,$80K - $120K,1671
753327333,$80K - $120K,1028
806160108,$40K - $60K,1336
709327383,Unknown,1207
806165208,$60K - $80K,1178
708508758,Less than $40K,692
784725333,$40K - $60K,931
811604133,Less than $40K,1126
789124683,$80K - $120K,1110
771071958,Less than $40K,1051
720466383,$40K - $60K,1197
804424383,$60K - $80K,1904
718813833,Unknown,1052
806624208,$40K - $60K,1045
778348233,$80K - $120K,1038
712991808,$60K - $80K,1596
709029408,$60K - $80K,1589
788658483,Less than $40K,1411
787937058,$80K - $120K,1291
715318008,Less than $40K,1407
713962233,Less than $40K,1877
715190283,$40K - $60K,1464
708300483,Unknown,704
827111283,$80K - $120K,1109
758551608,$40K - $60K,1347
778493808,$60K - $80K,1756
720572508,Unknown,1042
712661433,$80K - $120K,1444
789172683,$60K - $80K,1741
738406533,$40K - $60K,1719
799723908,$80K - $120K,1217
771490833,$80K - $120K,1140
720756708,Less than $40K,1878
779471883,Less than $40K,705
711525033,Less than $40K,1946
712813458,$120K +,1414
714374133,$120K +,602
717891558,Less than $40K,1052
716632758,Less than $40K,1295
768563658,$40K - $60K,1424
711427458,Unknown,1359
714091983,$60K - $80K,1168
787584108,$80K - $120K,1097
711481533,$60K - $80K,1316
710082708,$120K +,1276
708155733,$120K +,1289
807986133,$60K - $80K,1353
788730933,Less than $40K,1132
711314058,$60K - $80K,1670
717975333,$80K - $120K,837
715971108,$120K +,1550
720096558,Less than $40K,1540
719580033,$60K - $80K,1256
820582308,$80K - $120K,1394
789973308,$60K - $80K,1341
712876233,$80K - $120K,1289
804595158,Less than $40K,1112
714826758,Less than $40K,2339
779058108,$60K - $80K,1468
710790258,$80K - $120K,1334
715623483,$60K - $80K,1457
715156383,$120K +,1603
711013983,$40K - $60K,615
755420433,Unknown,1068
794543958,$80K - $120K,1590
716396358,$60K - $80K,1531
715398033,$120K +,1212
711743883,Less than $40K,1237
719720058,$60K - $80K,1413
778992108,$120K +,1516
717539808,Less than $40K,1276
714070758,$80K - $120K,1564
714107958,$40K - $60K,1465
789140283,$80K - $120K,1286
715550508,Unknown,1312
719712633,Less than $40K,1673
772629333,$40K - $60K,1313
720336708,$40K - $60K,1609
802013583,$120K +,1158
711887583,$80K - $120K,836
714778833,Unknown,1289
779155158,$120K +,1259
721091583,Less than $40K,1298
713572683,$60K - $80K,1226
716657058,Less than $40K,1566
779509983,$120K +,1022
717929133,$60K - $80K,1235
808284783,Less than $40K,1951
708476808,$120K +,1047
710916408,$60K - $80K,1342
708492558,$60K - $80K,1107
799825758,$60K - $80K,1251
718619883,Less than $40K,1305
711844758,$80K - $120K,1388
714798783,$80K - $120K,1235
826762908,$80K - $120K,2089
771894558,$80K - $120K,1626
721074183,$60K - $80K,1111
715259583,Less than $40K,1553
718414008,$120K +,1064
719666283,Less than $40K,1243
714877233,$80K - $120K,1659
785387883,$40K - $60K,1594
711318033,$60K - $80K,1304
783554958,$120K +,1368
720201033,$80K - $120K,720
718039683,$40K - $60K,1521
714752208,Less than $40K,978
822063408,$40K - $60K,1221
714490308,$80K - $120K,1565
713356833,$80K - $120K,1578
711402333,Less than $40K,1493
708296883,$40K - $60K,1178
719154483,$60K - $80K,991
717721458,$60K - $80K,2560
711112683,Unknown,1657
715674483,Less than $40K,1204
789322833,Less than $40K,673
789968058,$120K +,1131
709919283,$80K - $120K,1576
718744008,Less than $40K,1217
767712558,$60K - $80K,530
712950783,Less than $40K,739
716104983,Less than $40K,1617
818839983,$120K +,1592
772288758,Unknown,1343
712350858,$80K - $120K,1303
711009708,$80K - $120K,1351
712720158,Unknown,1910
773827008,$60K - $80K,1087
795232683,Less than $40K,1439
713786508,$40K - $60K,1238
713539833,$40K - $60K,1716
712454058,$120K +,1099
718803333,Less than $40K,1285
720253908,$80K - $120K,1651
714133158,Unknown,1152
713187033,$60K - $80K,1767
714791208,Less than $40K,1039
772426383,$40K - $60K,1130
710975883,Less than $40K,1645
714264408,Less than $40K,1413
715827858,Less than $40K,1218
713741358,$80K - $120K,597
709531908,$60K - $80K,2184
716493408,Unknown,1592
714141108,Less than $40K,1388
708953883,$80K - $120K,757
820353558,$40K - $60K,1503
714964758,$40K - $60K,1105
716264358,$80K - $120K,2398
717296808,Less than $40K,1661
710829108,$40K - $60K,999
779562633,$40K - $60K,1387
715315833,$80K - $120K,1243
815500983,Less than $40K,1860
719360583,$60K - $80K,1502
709701558,$60K - $80K,1460
721148358,Unknown,1348
779862408,$80K - $120K,1087
812627208,Less than $40K,1226
711033408,Less than $40K,1230
779956608,Unknown,1555
780376683,$80K - $120K,1827
717912483,$80K - $120K,1376
714454758,Less than $40K,1771
780466533,$120K +,1873
715735233,Less than $40K,1679
720476733,Less than $40K,1002
715872333,$120K +,1344
712375758,$80K - $120K,1461
708868233,Less than $40K,760
718030083,$60K - $80K,1428
720707283,$80K - $120K,1777
771698658,$60K - $80K,1302
748326258,$80K - $120K,1483
719808558,Less than $40K,886
711551958,$60K - $80K,844
809164083,$40K - $60K,1450
820596183,$120K +,2311
715999608,Less than $40K,1378
805543158,$120K +,1523
709752183,$60K - $80K,1374
716479233,$40K - $60K,1080
713837058,Less than $40K,1234
718876683,Less than $40K,1600
770746908,$60K - $80K,1155
794843883,$80K - $120K,1353
758076408,$40K - $60K,1590
714606558,Less than $40K,1448
778425408,$80K - $120K,1271
714171108,$40K - $60K,1223
719662458,Less than $40K,1117
713137233,$80K - $120K,994
769425858,$60K - $80K,1468
788900883,Less than $40K,1368
758348808,$120K +,1218
772336458,$40K - $60K,702
708711483,$80K - $120K,1516
717906783,$120K +,1310
719437908,$80K - $120K,1767
769433508,$60K - $80K,933
790096533,$60K - $80K,1512
720997383,$80K - $120K,829
787541883,$80K - $120K,1120
709930758,$40K - $60K,1506
789830058,$80K - $120K,1384
710299608,Less than $40K,817
710741208,$80K - $120K,2094
821797008,$40K - $60K,815
708874533,Less than $40K,510
715341858,$80K - $120K,1377
793636308,$80K - $120K,1193
713779908,Unknown,1287
712125258,$120K +,701
709703433,$60K - $80K,1770
721022433,$60K - $80K,1409
710103558,$120K +,1354
715952883,$40K - $60K,1765
719731458,$40K - $60K,1192
772390908,$40K - $60K,687
787348608,Less than $40K,1227
709485033,Less than $40K,1737
715432608,$60K - $80K,1348
799471833,$120K +,1435
714187533,$40K - $60K,1321
779656908,$40K - $60K,1479
788950158,$80K - $120K,1283
778867533,$40K - $60K,689
710620383,$60K - $80K,965
778661358,Less than $40K,1541
789483333,$40K - $60K,1258
809855808,Less than $40K,1339
718464258,Less than $40K,1007
708528483,Unknown,1387
771809733,$40K - $60K,960
719942883,$60K - $80K,1119
807226683,$40K - $60K,1642
717806133,$60K - $80K,1382
720615708,$40K - $60K,1232
714511758,$80K - $120K,1542
715050408,$80K - $120K,1094
721132233,Less than $40K,1217
719211558,$60K - $80K,744
712069008,Less than $40K,1614
715996983,$80K - $120K,1747
773466258,$40K - $60K,1144
719117433,$80K - $120K,1463
716451183,$40K - $60K,1706
718621608,Unknown,909
715085733,$40K - $60K,2434
788977833,$80K - $120K,1876
720272958,$120K +,1000
708421833,Less than $40K,1139
709173108,Unknown,799
709879458,Unknown,1881
715120608,$60K - $80K,1273
770632758,Unknown,1328
779078733,$60K - $80K,1579
771742533,$40K - $60K,937
720250158,$60K - $80K,1749
716458983,$40K - $60K,1424
713747733,$40K - $60K,2011
712270158,$40K - $60K,1208
789562383,Less than $40K,1259
754897008,$40K - $60K,1319
712890408,$60K - $80K,1338
720248208,$60K - $80K,1554
717401883,$60K - $80K,1694
721509558,$120K +,1678
710572458,Unknown,2069
714576183,$80K - $120K,1222
721425558,$120K +,1536
711109908,Less than $40K,1400
715203108,$40K - $60K,1050
710027508,$60K - $80K,1389
787464408,$60K - $80K,1184
783542133,Less than $40K,2093
708330858,$120K +,678
714426783,Unknown,1467
712701333,$60K - $80K,1219
709494483,Less than $40K,1730
773373108,Less than $40K,1025
715812258,$80K - $120K,1165
778286433,$40K - $60K,2133
711569433,Less than $40K,1083
709346133,Unknown,1277
788194458,$60K - $80K,1843
720779733,$120K +,1747
717424458,Less than $40K,1166
708820308,$80K - $120K,1326
710558058,Less than $40K,1619
770590758,$40K - $60K,1285
718490658,Less than $40K,1142
711985833,Less than $40K,1190
708967608,Less than $40K,1052
715024233,$120K +,1740
779249583,Less than $40K,1378
709278258,$40K - $60K,996
778928283,Less than $40K,1389
712299858,Less than $40K,1365
799224108,Less than $40K,1715
809976033,$60K - $80K,1582
716203308,$80K - $120K,1220
714871683,$40K - $60K,715
716139933,$80K - $120K,2552
716984658,$120K +,1106
713086008,Less than $40K,1731
713773458,$60K - $80K,1435
719242533,$60K - $80K,1882
772712658,Less than $40K,2058
788868858,Less than $40K,1658
811898133,Less than $40K,1334
788808633,$80K - $120K,1441
779804208,$40K - $60K,1371
781391058,$40K - $60K,1991
790134408,$60K - $80K,1278
788853258,$60K - $80K,1734
711857733,$60K - $80K,1330
822969858,Unknown,1787
719554758,$80K - $120K,1672
711643458,Less than $40K,1439
788830683,$80K - $120K,1558
807030858,$120K +,1795
793059108,$40K - $60K,893
716568708,Less than $40K,1099
828281733,$120K +,1408
717229158,$40K - $60K,1893
715915458,Less than $40K,1151
819129858,Less than $40K,1519
713441958,$120K +,1245
719091333,$60K - $80K,1102
708666258,$40K - $60K,1402
714914583,Less than $40K,1060
714363858,Less than $40K,1459
721347408,Less than $40K,1456
809608533,Unknown,1439
772047183,$40K - $60K,1353
714217908,$40K - $60K,1173
714819183,$80K - $120K,1746
752952108,$80K - $120K,1473
712595433,$120K +,1805
714982383,$60K - $80K,1421
813814008,Less than $40K,1272
794545983,$80K - $120K,1409
708288108,$80K - $120K,647
715585158,$60K - $80K,1275
810449883,Less than $40K,1270
789863208,Less than $40K,1702
715022133,$60K - $80K,1256
712506708,Less than $40K,3178
715699983,$60K - $80K,1626
818942433,Less than $40K,1562
712459233,$40K - $60K,1960
716545383,$40K - $60K,1154
821837958,$80K - $120K,1226
804359133,$120K +,1743
713308683,$80K - $120K,1139
788780958,$40K - $60K,1073
717354558,$120K +,683
798473808,$80K - $120K,1159
712372158,$120K +,1859
715192308,$120K +,1205
708813033,$40K - $60K,1409
714639783,$60K - $80K,1000
717292758,Less than $40K,1161
779241783,$40K - $60K,1512
715205358,$60K - $80K,1750
778871508,$60K - $80K,1170
779462433,Less than $40K,2218
709864833,$60K - $80K,1329
778868958,Less than $40K,857
717276708,$80K - $120K,1470
710004933,$60K - $80K,1435
753606108,$60K - $80K,1093
710940183,Less than $40K,715
718927533,$80K - $120K,1512
719337408,$60K - $80K,2399
772308408,$80K - $120K,906
790099758,$40K - $60K,975
709547658,$60K - $80K,783
778770783,$80K - $120K,990
713134458,$120K +,1097
712159083,Less than $40K,901
713639958,Less than $40K,1327
771180033,$40K - $60K,1814
717916758,Unknown,1365
711089733,Less than $40K,1058
716988633,$60K - $80K,1476
