Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
0,44,M,3,Graduate,Married,$80K - $120K,Blue,36,3,3,2,25666.0,756,24910.0,0.69,4088,84,0.867,0.029
0,60,M,1,Graduate,Single,Less than $40K,Blue,48,5,3,3,3980.0,930,3050.0,0.72,4449,82,0.608,0.234
0,30,M,0,Unknown,Single,$80K - $120K,Blue,25,5,2,2,4237.0,1676,2561.0,0.786,2465,88,0.725,0.396
0,42,M,3,Graduate,Divorced,$40K - $60K,Blue,33,4,2,4,3178.0,1800,1378.0,0.89,4605,86,0.623,0.566
0,45,F,1,Unknown,Married,Less than $40K,Blue,32,4,1,3,6373.0,1562,4811.0,0.573,3483,82,0.64,0.245
0,37,M,2,Unknown,Single,$40K - $60K,Blue,28,4,4,3,2394.0,0,2394.0,1.059,2805,85,0.667,0.0
0,28,M,0,Graduate,Single,Less than $40K,Blue,36,4,2,4,1707.0,1191,516.0,0.669,2950,87,0.977,0.698
0,37,F,3,Graduate,Single,Less than $40K,Blue,36,5,2,4,3685.0,1396,2289.0,0.974,3016,85,0.809,0.379
0,49,M,4,High School,Divorced,$80K - $120K,Blue,37,5,2,2,32338.0,1664,30674.0,0.919,3013,83,0.766,0.051
0,62,F,0,Graduate,Single,Unknown,Silver,49,5,1,2,30310.0,0,30310.0,0.777,3703,91,0.492,0.0
0,42,M,2,College,Single,$60K - $80K,Blue,36,5,3,2,8083.0,0,8083.0,1.076,3942,84,0.75,0.0
0,26,M,1,College,Divorced,$40K - $60K,Blue,21,3,3,2,1438.3,0,1438.3,0.745,2660,89,0.712,0.0
0,36,M,2,Graduate,Single,$60K - $80K,Blue,27,3,3,2,7776.0,831,6945.0,1.007,3063,87,0.891,0.107
0,33,M,1,Uneducated,Single,$60K - $80K,Blue,28,6,3,4,2618.0,1812,806.0,0.706,3319,86,0.911,0.692
0,28,F,0,Graduate,Divorced,Less than $40K,Blue,23,5,1,3,3818.0,584,3234.0,0.7,2947,87,0.706,0.153
0,65,F,0,Uneducated,Single,Less than $40K,Blue,56,6,1,2,8705.0,1453,7252.0,1.11,2688,88,0.956,0.167
0,31,F,1,High School,Single,Less than $40K,Blue,22,5,1,5,6662.0,0,6662.0,0.934,3264,83,0.766,0.0
0,40,M,4,Uneducated,Married,$80K - $120K,Blue,23,6,3,2,9760.0,1657,8103.0,1.134,4542,86,0.87,0.17
0,57,F,3,Unknown,Single,Unknown,Blue,40,3,3,1,2111.0,966,1145.0,0.923,3871,87,0.706,0.458
0,48,M,4,Uneducated,Single,$40K - $60K,Blue,38,6,3,2,8327.0,1551,6776.0,0.463,4428,82,0.822,0.186
0,43,M,3,Post-Graduate,Married,$60K - $80K,Gold,37,6,1,2,34516.0,1580,32936.0,0.707,4149,86,0.755,0.046
0,52,F,1,Graduate,Divorced,Unknown,Blue,35,3,2,4,13169.0,1499,11670.0,0.603,4370,83,0.537,0.114
0,33,F,4,College,Divorced,Less than $40K,Blue,24,6,2,2,9857.0,0,9857.0,0.699,3448,103,0.635,0.0
0,47,M,4,Unknown,Single,$40K - $60K,Blue,36,3,3,3,5762.0,1890,3872.0,0.938,3814,88,0.66,0.328
0,32,M,0,Uneducated,Single,$40K - $60K,Blue,36,4,3,3,7200.0,0,7200.0,0.894,3006,83,0.93,0.0
0,29,F,1,High School,Single,Less than $40K,Blue,23,3,1,2,3318.0,927,2391.0,0.934,3011,83,0.804,0.279
0,32,F,1,Graduate,Single,Less than $40K,Blue,28,6,3,3,2428.0,1027,1401.0,0.824,3007,84,0.867,0.423
0,34,F,2,Doctorate,Single,Less than $40K,Blue,28,3,3,2,1438.3,0,1438.3,0.892,3044,91,0.896,0.0
0,36,F,4,College,Single,Less than $40K,Blue,36,3,2,1,2758.0,2168,590.0,1.046,3073,86,0.792,0.786
0,33,M,2,Graduate,Divorced,$60K - $80K,Blue,21,5,3,3,20791.0,0,20791.0,0.744,2883,93,0.755,0.0
0,34,M,1,Graduate,Unknown,$60K - $80K,Blue,27,5,2,4,19900.0,1581,18319.0,0.838,3948,96,0.846,0.079
0,36,F,3,Graduate,Single,$40K - $60K,Blue,28,3,2,3,3701.0,969,2732.0,1.079,3222,86,0.623,0.262
0,37,F,3,High School,Single,Unknown,Blue,28,3,1,4,18570.0,1524,17046.0,1.385,3999,96,0.846,0.082
0,26,F,0,College,Married,$40K - $60K,Blue,13,2,3,3,2010.0,1070,940.0,0.906,3625,85,0.635,0.532
0,43,M,2,Graduate,Married,$120K +,Silver,31,6,2,4,34516.0,2398,32118.0,0.917,4976,88,0.692,0.069
0,41,M,2,Graduate,Married,$80K - $120K,Blue,36,6,3,3,9133.0,2140,6993.0,0.649,4101,88,0.63,0.234
0,57,M,3,Graduate,Single,$120K +,Blue,49,5,3,3,32676.0,2134,30542.0,0.797,3990,88,0.76,0.065
0,40,F,4,Graduate,Single,Less than $40K,Silver,27,3,1,2,10745.0,2084,8661.0,0.847,3502,87,0.933,0.194
0,34,F,2,Unknown,Single,Less than $40K,Blue,21,6,3,4,6131.0,1270,4861.0,0.913,2825,93,0.824,0.207
0,36,M,3,Unknown,Single,$60K - $80K,Blue,36,3,1,1,11684.0,1786,9898.0,0.806,2969,88,0.796,0.153
0,40,M,3,Graduate,Married,$60K - $80K,Blue,36,6,2,2,15008.0,0,15008.0,0.784,3943,85,0.771,0.0
0,61,M,2,High School,Single,$60K - $80K,Silver,48,5,2,3,26218.0,0,26218.0,0.74,3925,88,0.833,0.0
0,33,F,4,Graduate,Single,Less than $40K,Blue,22,5,1,2,2001.0,1217,784.0,0.775,3162,99,0.707,0.608
0,38,M,1,Doctorate,Single,$80K - $120K,Silver,29,6,3,3,34516.0,1435,33081.0,1.13,4238,85,0.809,0.042
0,30,F,0,Graduate,Divorced,Less than $40K,Blue,17,4,1,3,4704.0,0,4704.0,1.177,3294,87,0.891,0.0
0,41,F,5,High School,Single,$40K - $60K,Blue,32,6,1,2,14987.0,1425,13562.0,0.8,4470,83,0.844,0.095
0,46,M,0,High School,Divorced,$80K - $120K,Blue,36,3,1,4,16099.0,0,16099.0,0.562,3656,88,0.76,0.0
0,51,M,2,Doctorate,Single,$120K +,Blue,36,4,2,5,25873.0,582,25291.0,0.769,3920,84,0.647,0.022
0,39,M,2,High School,Single,$120K +,Blue,22,5,2,2,26124.0,0,26124.0,0.735,4199,92,0.586,0.0
0,48,M,2,High School,Single,$80K - $120K,Blue,36,3,2,4,10227.0,1695,8532.0,0.875,3577,82,0.783,0.166
0,41,F,2,Graduate,Married,$40K - $60K,Blue,36,6,1,3,11239.0,1375,9864.0,0.94,3978,89,0.78,0.122
0,48,M,2,Graduate,Divorced,$80K - $120K,Blue,43,5,3,2,6383.0,1436,4947.0,0.845,4462,88,0.66,0.225
0,50,M,2,Graduate,Married,$120K +,Blue,43,3,1,3,20114.0,0,20114.0,0.82,4740,88,0.796,0.0
0,48,M,3,Uneducated,Single,$120K +,Blue,38,4,2,5,20912.0,0,20912.0,0.725,4172,84,0.787,0.0
0,35,F,4,Uneducated,Single,Less than $40K,Blue,24,4,2,2,3271.0,1367,1904.0,0.704,2464,92,1.0,0.418
0,52,F,3,High School,Single,Less than $40K,Blue,45,3,3,0,2728.0,1365,1363.0,0.648,4293,83,0.976,0.5
0,44,F,3,High School,Married,Less than $40K,Blue,31,6,2,5,1438.3,688,750.3,0.976,4208,86,0.72,0.478
0,53,F,1,Uneducated,Divorced,$40K - $60K,Silver,36,5,1,1,15248.0,1242,14006.0,0.725,4758,83,0.456,0.081
0,39,M,2,Graduate,Divorced,$60K - $80K,Blue,34,5,1,4,2267.0,0,2267.0,0.875,4544,84,0.75,0.0
0,46,M,5,College,Married,$60K - $80K,Blue,39,3,2,3,24248.0,1020,23228.0,1.19,3311,84,0.75,0.042
0,44,F,2,High School,Single,$40K - $60K,Blue,25,6,2,3,3299.0,2517,782.0,0.981,4312,84,0.787,0.763
0,48,F,2,Graduate,Married,Less than $40K,Blue,36,4,1,2,6362.0,1705,4657.0,0.644,5169,84,0.474,0.268
0,45,F,2,Graduate,Married,Less than $40K,Blue,25,4,2,2,3518.0,2035,1483.0,0.567,4034,82,0.673,0.578
0,36,M,1,Uneducated,Unknown,$120K +,Blue,23,6,3,3,20230.0,798,19432.0,0.592,4314,82,0.708,0.039
0,44,M,4,Graduate,Married,$120K +,Blue,32,6,3,4,34516.0,2517,31999.0,0.765,4228,83,0.596,0.073
0,52,M,2,Unknown,Single,$60K - $80K,Blue,39,3,2,3,1629.0,978,651.0,0.552,3766,83,0.694,0.6
0,47,M,2,Graduate,Unknown,$80K - $120K,Blue,43,3,2,2,2158.0,1170,988.0,0.73,4421,89,0.679,0.542
0,49,F,2,High School,Married,Unknown,Blue,36,6,2,3,15704.0,0,15704.0,0.924,4253,91,0.685,0.0
0,45,F,2,Post-Graduate,Single,Less than $40K,Blue,36,3,1,3,2736.0,2043,693.0,0.801,4550,84,0.75,0.747
0,63,M,0,College,Single,$80K - $120K,Blue,56,6,2,2,9033.0,0,9033.0,0.78,4456,85,0.635,0.0
0,40,M,2,Graduate,Married,$80K - $120K,Blue,36,6,1,3,3340.0,1282,2058.0,0.724,4526,82,0.547,0.384
0,49,M,2,Graduate,Married,$40K - $60K,Blue,45,4,2,0,10541.0,1387,9154.0,0.72,4269,92,0.614,0.132
0,49,F,1,Unknown,Married,$40K - $60K,Blue,37,5,2,4,3943.0,1135,2808.0,0.672,4180,82,0.783,0.288
0,53,M,2,Uneducated,Single,$80K - $120K,Blue,47,6,1,1,22855.0,0,22855.0,0.741,3711,83,0.804,0.0
0,47,F,2,Graduate,Married,$40K - $60K,Blue,36,5,2,3,2255.0,1733,522.0,0.903,4772,83,0.729,0.769
0,50,F,3,Uneducated,Single,Less than $40K,Blue,41,4,2,2,2563.0,1860,703.0,0.68,3774,83,0.804,0.726
0,49,F,2,High School,Married,Less than $40K,Blue,45,6,2,5,8353.0,1535,6818.0,1.323,4200,83,0.804,0.184
0,38,F,3,Unknown,Unknown,$40K - $60K,Blue,36,6,1,3,3509.0,1819,1690.0,0.894,4712,84,0.909,0.518
0,28,M,0,High School,Single,Less than $40K,Blue,36,6,3,4,2295.0,1015,1280.0,1.04,3366,82,0.708,0.442
0,42,F,3,High School,Married,Less than $40K,Blue,33,5,2,4,6848.0,0,6848.0,0.962,4006,82,0.822,0.0
0,47,F,3,Graduate,Unknown,Unknown,Blue,34,5,1,4,18064.0,2039,16025.0,0.89,4435,88,0.796,0.113
0,42,F,5,College,Married,Less than $40K,Blue,31,3,1,2,3476.0,700,2776.0,0.604,4364,88,0.517,0.201
0,39,M,0,Graduate,Single,$80K - $120K,Gold,32,3,1,4,34516.0,1793,32723.0,0.545,4256,82,0.783,0.052
0,38,M,2,Unknown,Divorced,$40K - $60K,Blue,28,3,3,4,11209.0,1165,10044.0,0.966,4614,96,0.714,0.104
0,42,F,5,Graduate,Single,Less than $40K,Blue,36,4,2,2,8464.0,1002,7462.0,0.598,4227,92,0.84,0.118
0,45,F,2,Graduate,Divorced,Less than $40K,Blue,33,6,3,3,3855.0,1188,2667.0,0.927,3885,83,0.627,0.308
0,52,M,5,Unknown,Married,$80K - $120K,Blue,40,3,3,4,30314.0,776,29538.0,0.705,3290,82,0.64,0.026
0,43,F,3,College,Single,Less than $40K,Blue,32,5,3,3,4204.0,0,4204.0,1.073,3799,85,0.604,0.0
0,45,M,3,High School,Divorced,$80K - $120K,Blue,26,3,2,2,18410.0,974,17436.0,0.857,3778,83,0.694,0.053
0,39,M,3,High School,Single,$80K - $120K,Blue,30,5,3,3,6347.0,569,5778.0,0.668,3927,82,0.577,0.09
0,52,M,2,High School,Single,$120K +,Blue,43,3,2,3,34516.0,761,33755.0,0.916,4313,82,0.547,0.022
0,40,M,2,Graduate,Married,$40K - $60K,Blue,31,6,1,2,6500.0,2025,4475.0,0.656,4738,82,0.673,0.312
0,44,F,3,Uneducated,Single,Less than $40K,Blue,39,3,2,2,7323.0,0,7323.0,0.518,4666,87,0.776,0.0
0,47,F,4,Post-Graduate,Single,Unknown,Blue,36,6,1,0,3054.0,1862,1192.0,0.589,3543,87,0.812,0.61
0,40,M,5,Graduate,Unknown,$120K +,Blue,27,5,2,3,31954.0,2297,29657.0,0.516,4371,82,0.64,0.072
0,39,M,2,Uneducated,Single,$40K - $60K,Blue,19,4,3,3,6628.0,1735,4893.0,0.587,4050,89,0.935,0.262
0,38,M,1,Graduate,Single,$60K - $80K,Blue,34,5,3,4,23391.0,1977,21414.0,0.558,4106,85,0.809,0.085
0,40,F,2,Graduate,Married,Unknown,Blue,29,5,2,2,18862.0,2105,16757.0,0.832,4449,86,0.686,0.112
0,45,F,2,Uneducated,Single,$40K - $60K,Blue,37,6,1,3,2529.0,1654,875.0,0.528,3428,84,0.68,0.654
